"","Trial","Bay","Block","Row","Range","Expt","Name","Damage_Level","Experiment_Number"
"357","SFNB '16","B",1,27,13,"CAIGE 1","21:ZIC15",6,7
"358","SFNB '16","B",1,28,13,"CAIGE 1","23:ZIC15",6,7
"359","SFNB '16","B",1,29,13,"CAIGE 1","24:ZIC15",6,7
"360","SFNB '16","B",1,30,13,"CAIGE 1","125:ZID14",7,7
"361","SFNB '16","B",1,31,13,"CAIGE 1","1:ZIE14",6,7
"362","SFNB '16","B",1,32,13,"CAIGE 1","9:ZIE14",6,7
"363","SFNB '16","B",1,33,13,"Control","Compass",6,7
"364","SFNB '16","B",1,34,13,"CAIGE 1","11:ZIE14",6,7
"365","SFNB '16","B",1,35,13,"CAIGE 1","13:ZIE14",7,7
"366","SFNB '16","B",1,36,13,"CAIGE 1","18:ZIE14",6,7
"367","SFNB '16","B",1,37,13,"CAIGE 1","19:ZIE14",6,7
"368","SFNB '16","B",1,38,13,"CAIGE 1","20:ZIE14",6,7
"369","SFNB '16","B",1,39,13,"CAIGE 1"," ICARDA003",4,7
"370","SFNB '16","B",1,40,13,"CAIGE 1"," ICARDA009",3,7
"371","SFNB '16","B",1,41,13,"Control","Fathom",3,7
"372","SFNB '16","B",1,42,13,"CAIGE 1"," ICARDA012",3,7
"373","SFNB '16","B",1,43,13,"CAIGE 1"," ICARDA016",5,7
"374","SFNB '16","B",1,44,13,"CAIGE 1"," ICARDA023",4,7
"375","SFNB '16","B",1,45,13,"CAIGE 1"," ICARDA026",6,7
"376","SFNB '16","B",1,46,13,"CAIGE 1"," ICARDA068",5,7
"377","SFNB '16","B",1,47,13,"CAIGE 1"," ISBONLRAM-052",4,7
"378","SFNB '16","B",1,48,13,"Control","Buloke",6,7
"379","SFNB '16","B",1,25,14,"Control","Dash",8,7
"380","SFNB '16","B",1,26,14,"CAIGE 1"," ISBONLRAM-083",7,7
"381","SFNB '16","B",1,27,14,"CAIGE 1"," ISBONLRAM-107",6,7
"382","SFNB '16","B",1,28,14,"CAIGE 1"," ISBYTLRAC-003",5,7
"383","SFNB '16","B",1,29,14,"CAIGE 1"," ISBYTLRAC-004",5,7
"384","SFNB '16","B",1,30,14,"CAIGE 1"," ISBYTLRAC-015",3,7
