Trial,Bay,Block,Row,Range,Expt_15,Name,NFNB Z55-61 MM
15NFNB,D,1,76,19,CAIGE,136:ZID14,1
15NFNB,D,1,77,19,Control,VB9613,8
15NFNB,D,1,78,19,CAIGE,137:ZID14,3
15NFNB,D,1,79,19,CAIGE,138:ZID14,1
15NFNB,D,1,80,19,CAIGE,139:ZID14,1
15NFNB,D,1,81,19,Control,VB9613,8
15NFNB,D,1,82,19,CAIGE,141:ZID14,1
15NFNB,D,1,83,19,CAIGE,142:ZID14,1
15NFNB,D,1,84,19,CAIGE,143:ZID14,4
15NFNB,D,1,85,19,Control,Bass,7
15NFNB,D,1,86,19,CAIGE,144:ZID14,4
15NFNB,D,1,87,19,CAIGE,145:ZID14,3
15NFNB,D,1,88,19,CAIGE,147:ZID14,1
15NFNB,D,1,89,19,Control,Commander,4
15NFNB,D,1,90,19,CAIGE,148:ZID14,1
15NFNB,D,1,91,19,CAIGE,149:ZID14,1
15NFNB,D,1,92,19,CAIGE,Rihane-03,1
15NFNB,D,1,93,19,Control,VB9613,8
15NFNB,D,1,94,19,CAIGE,Parent19,2
